record_id,operation_date,depot,shift,operator_id,machine_id,throughput_barrels,temperature_c,maintenance_flag,voltage_count,incident_type
MO-20260224-MOM-D,24/02/2026,Mombasa,Day,OP-M02,MBA-P01,1069.7,34.6,0,230,none
MO-20261015-KIS-D,15/10/2026,Kisumu,Day,OP-K01,KSM-P01,1051.6,25.5,0,227,none
MO-20260518-MOM-D,18/05/2026,Mombasa,Day,OP-M04,MBA-P01,999.3,37.1,0,209,none
MO-20260209-MOM-N,09/02/2026,Mombasa,Night,OP-M04,MBA-P03,1038.7,32.4,0,213,none
MO-20260318-MOM-N,18/03/2026,Mombasa,Night,OP-M02,MBA-P01,939.7,34.5,0,225,none
MO-20260706-MOM-D,06/07/2026,Mombasa,Day,OP-M04,MBA-P03,1116.0,28.0,0,215,none
MO-20260121-NAI-N,21/01/2026,Nairobi,Night,OP-N03,NBI-P03,1056.8,28.6,0,219,none
MO-20260720-NAI-N,20/07/2026,Nairobi,Night,OP-N01,NBI-P01,991.3,23.0,0,222,none
MO-20260116-KIS-N,16/01/2026,Kisumu,Night,OP-K03,KSM-P01,938.6,26.7,0,211,none
MO-20260813-ELD-N,13/08/2026,Eldoret,Night,OP-E02,ELD-P02,908.8,16.1,0,213,none
MO-20260311-KIS-N,11/03/2026,Kisumu,Night,OP-K02,KSM-P01,902.2,32.8,0,219,none
MO-20260828-KIS-D,28/08/2026,Kisumu,Day,OP-K02,KSM-P03,1011.5,24.5,0,225,none
MO-20260402-ELD-N,02/04/2026,Eldoret,Night,OP-E02,ELD-P02,531.5,27.4,0,221,brief_equipment_fault
MO-20260112-NAI-N,12/01/2026,Nairobi,Night,OP-N01,NBI-P01,1095.1,26.4,0,216,none
MO-20260429-MOM-N,29/04/2026,Mombasa,Night,OP-M01,MBA-P03,1046.3,33.6,0,209,none
MO-20261113-ELD-N,13/11/2026,Eldoret,Night,OP-E01,ELD-P02,1074.2,18.1,0,218,none
MO-20260328-ELD-N,28/03/2026,Eldoret,Night,OP-E02,ELD-P03,1026.2,24.4,0,216,none
MO-20260423-MOM-D,23/04/2026,Mombasa,Day,OP-M01,MBA-P03,1003.9,34.9,0,221,none
MO-20261004-NAI-D,04/10/2026,Nairobi,Day,OP-N02,NBI-P03,673.4,21.7,1,213,missed_maintenance
MO-20261021-KIS-D,21/10/2026,Kisumu,Day,OP-K01,KSM-P02,1199.1,26.6,0,226,none
MO-20260326-MOM-N,26/03/2026,Mombasa,Night,OP-M04,MBA-P02,1043.8,36.6,0,217,none
MO-20260220-MOM-N,20/02/2026,Mombasa,Night,OP-M01,MBA-P03,715.2,34.2,0,211,operator_blunder
MO-20260102-NAI-N,02/01/2026,Nairobi,Night,OP-N04,NBI-P04,1148.6,24.7,0,225,none
MO-20260704-ELD-D,04/07/2026,Eldoret,Day,OP-E02,ELD-P02,1019.9,23.5,0,218,none
MO-20260109-NAI-D,09/01/2026,Nairobi,Day,OP-N04,NBI-P02,1064.7,24.1,0,220,none
MO-20260417-NAI-N,17/04/2026,Nairobi,Night,OP-N04,NBI-P03,422.8,28.8,1,222,brief_equipment_fault
MO-20260517-MOM-N,17/05/2026,Mombasa,Night,OP-M03,MBA-P03,1083.6,28.5,0,213,none
MO-20260520-ELD-N,20/05/2026,Eldoret,Night,OP-E01,ELD-P01,660.9,21.0,0,213,operator_blunder
MO-20260301-KIS-N,01/03/2026,Kisumu,Night,OP-K01,KSM-P03,1039.5,28.8,0,223,none
MO-20260626-ELD-D,26/06/2026,Eldoret,Day,OP-E03,ELD-P01,1045.7,18.7,0,221,none
MO-20260403-ELD-N,03/04/2026,Eldoret,Night,OP-E03,ELD-P02,1027.9,21.5,0,216,none
MO-20260905-KIS-N,05/09/2026,Kisumu,Night,OP-K03,KSM-P01,787.6,23.1,0,212,none
MO-20260601-NAI-D,01/06/2026,Nairobi,Day,OP-N03,NBI-P01,1123.0,25.7,0,241,none
MO-20260627-MOM-D,27/06/2026,Mombasa,Day,OP-M03,MBA-P01,1036.6,27.8,0,232,none
MO-20261002-MOM-D,02/10/2026,Mombasa,Day,OP-M02,MBA-P03,991.4,25.4,0,219,none
MO-20260702-ELD-N,02/07/2026,Eldoret,Night,OP-E03,ELD-P03,984.4,14.6,0,217,none
MO-20260506-KIS-N,06/05/2026,Kisumu,Night,OP-K03,KSM-P03,978.6,28.5,0,219,none
MO-20260822-MOM-N,22/08/2026,Mombasa,Night,OP-M03,MBA-P01,951.5,26.9,0,226,none
MO-20260416-MOM-N,16/04/2026,Mombasa,Night,OP-M04,MBA-P01,1001.9,33.4,0,216,none
MO-20260109-NAI-N,09/01/2026,Nairobi,Night,OP-N04,NBI-P04,1019.6,25.7,0,214,none
MO-20260224-NAI-N,24/02/2026,Nairobi,Night,OP-N04,NBI-P04,1029.7,25.6,0,212,none
MO-20260315-MOM-D,15/03/2026,Mombasa,Day,OP-M02,MBA-P03,1110.5,34.6,0,214,none
MO-20260501-MOM-N,01/05/2026,Mombasa,Night,OP-M01,MBA-P03,1019.5,31.4,0,210,none
MO-20260623-KIS-D,23/06/2026,Kisumu,Day,OP-K03,KSM-P03,1067.6,22.7,0,221,none
MO-20261031-KIS-D,31/10/2026,Kisumu,Day,OP-K01,KSM-P01,1069.0,24.8,0,224,none
MO-20261220-KIS-D,20/12/2026,Kisumu,Day,OP-K01,KSM-P03,963.5,29.4,0,223,none
MO-20260512-ELD-N,12/05/2026,Eldoret,Night,OP-E03,ELD-P02,927.7,19.8,0,224,none
MO-20260411-ELD-D,11/04/2026,Eldoret,Day,OP-E01,ELD-P03,915.9,19.0,0,219,none
MO-20260711-MOM-D,11/07/2026,Mombasa,Day,OP-M02,MBA-P03,1050.4,25.3,0,222,none
MO-20260913-MOM-D,13/09/2026,Mombasa,Day,OP-M03,MBA-P01,1051.2,24.4,0,223,none
MO-20260203-NAI-D,03/02/2026,Nairobi,Day,OP-N05,NBI-P03,658.5,27.4,1,222,missed_maintenance
MO-20260912-ELD-D,12/09/2026,Eldoret,Day,OP-E01,ELD-P01,1050.1,13.5,0,218,none
MO-20260930-MOM-N,30/09/2026,Mombasa,Night,OP-M04,MBA-P01,1056.9,28.8,0,212,none
