date,pipeline_id,avg_pressure_psi,max_pressure_psi,flow_rate_gpm
2026-07-01,PL-001,159.44,178.57,693.41
2026-06-26,PL-001,271.33,303.89,933.59
2026-06-29,PL-001,207.83,232.77,863.54
2026-06-30,PL-001,203.11,227.48,1189.54
2026-07-01,PL-001,239.77,268.54,983.67
2026-06-29,PL-001,170.68,191.16,1062.16
2026-06-28,PL-001,274.53,307.47,745.46
2026-06-26,PL-001,252.75,283.08,1052.42
2026-07-01,PL-001,129.69,145.25,1192.96
2026-06-25,PL-001,209.58,234.73,1193.16
2026-06-28,PL-001,177.47,198.77,1223.34
2026-06-25,PL-001,131.26,147.01,1252.33
2026-06-26,PL-001,156.75,175.56,911.41
2026-07-01,PL-001,189.45,212.18,1085.0
2026-06-27,PL-001,124.92,139.91,1049.48
2026-06-26,PL-001,264.7,296.46,1191.14
2026-06-30,PL-001,257.33,288.21,620.35
2026-06-29,PL-001,250.33,280.37,1224.06
2026-06-28,PL-001,276.43,309.6,745.05
2026-06-28,PL-001,217.1,243.15,1225.71
2026-06-25,PL-001,277.59,310.9,0.0
2026-06-25,PL-001,254.78,285.35,1224.66
2026-06-29,PL-001,258.81,289.87,830.93
2026-06-30,PL-001,177.0,198.24,668.81
2026-06-25,PL-001,217.44,243.53,820.48
2026-06-27,PL-001,154.61,173.16,1172.91
2026-06-26,PL-001,226.51,253.69,729.45
2026-06-28,PL-001,177.2,198.46,1218.11
2026-06-29,PL-001,164.68,184.44,1390.59
2026-06-30,PL-001,150.19,168.21,1337.44
2026-06-29,PL-001,146.56,164.15,987.88
2026-06-25,PL-001,236.51,264.89,1255.79
2026-06-27,PL-001,215.44,241.29,0.0
2026-06-28,PL-001,223.28,250.07,1240.79
2026-06-25,PL-001,161.47,180.85,719.11
2026-06-25,PL-001,140.56,157.43,974.91
2026-06-27,PL-001,148.99,166.87,922.95
2026-06-27,PL-001,199.45,223.38,703.71
2026-06-26,PL-001,127.21,142.48,624.22
2026-07-01,PL-001,248.73,278.58,699.23
2026-06-30,PL-001,227.35,254.63,738.28
2026-06-28,PL-001,122.43,137.12,1313.27
2026-06-29,PL-001,255.51,286.17,1282.83
2026-06-25,PL-001,198.28,222.07,1092.11
2026-06-29,PL-001,177.97,199.33,933.6
2026-06-30,PL-001,254.85,285.43,0.0
2026-07-01,PL-001,185.89,208.2,841.66
2026-06-30,PL-001,141.86,158.88,1183.4
2026-06-28,PL-001,182.83,204.77,603.2
2026-06-26,PL-001,215.17,240.99,1165.88
2026-06-25,PL-001,277.4,310.69,756.91
2026-06-30,PL-001,161.09,180.42,939.64
2026-06-25,PL-001,139.19,155.89,717.46
2026-06-27,PL-001,182.68,204.6,639.85
2026-07-01,PL-001,254.04,284.52,1306.82
2026-07-01,PL-001,246.61,276.2,1302.9
2026-06-27,PL-001,183.32,205.32,1053.85
2026-07-01,PL-001,189.0,211.68,723.17
2026-06-28,PL-001,163.01,182.57,1291.47
2026-06-27,PL-001,131.28,147.03,1289.19
2026-06-26,PL-001,153.24,171.63,1103.93
